rollout/ep_len_mean,train/value_loss,train/n_updates,time/total_timesteps,time/iterations,rollout/ep_rew_mean,train/learning_rate,train/explained_variance,train/policy_loss,time/time_elapsed,train/entropy_loss,time/fps
459.94,1020.140625,31699,158500,31700,-9.083101189999999,0.0007,-6.791407585144043,-0.024170907214283943,167,-0.05507984757423401,945
446.92,9.900457382202148,31799,159000,31800,-5.610730679999998,0.0007,0.7853714227676392,0.0240215752273798,168,-0.5737918615341187,945
426.92,0.2663884162902832,31899,159500,31900,1.8567490300000002,0.0007,0.9569868445396423,-0.13928386569023132,169,-0.40075650811195374,943
402.14,4.951525688171387,31999,160000,32000,9.383119019999999,0.0007,0.9751501083374023,0.0071318866685032845,169,-0.5068235993385315,941
376.54,5.323747634887695,32099,160500,32100,13.403234580000001,0.0007,0.5398365259170532,0.00863870419561863,170,-0.3831811845302582,942
365.2,12.237776756286621,32199,161000,32200,15.28326578,0.0007,0.5239139795303345,-0.261542409658432,170,-0.20423850417137146,943
357.56,0.3333204686641693,32299,161500,32300,15.201523520000006,0.0007,0.973380446434021,-0.11506132036447525,170,-0.4512541890144348,944
352.91,166.59901428222656,32399,162000,32400,17.294435110000002,0.0007,0.7739502787590027,0.0434638075530529,171,-0.24880976974964142,945
352.04,0.25100478529930115,32499,162500,32500,17.04325837,0.0007,-0.6046140193939209,5.827363202115521e-05,171,-0.011785346083343029,946
346.54,3.9517199993133545,32599,163000,32600,14.93085198,0.0007,0.202306866645813,-0.07760395854711533,172,-0.4496837258338928,947
337.74,2.6118721961975098,32699,163500,32700,12.91291059,0.0007,0.604091227054596,-0.0029558073729276657,172,-0.3485117554664612,945
334.56,0.321218341588974,32799,164000,32800,13.802006230000002,0.0007,0.00010341405868530273,-9.097158795157156e-07,173,-0.12421689927577972,944
308.6,1.1908973455429077,32899,164500,32900,17.87079993,0.0007,0.8949259519577026,-0.15005426108837128,174,-0.5233250856399536,942
290.08,0.43808460235595703,32999,165000,33000,23.351365570000002,0.0007,0.0008841753005981445,-2.4495739125995897e-05,175,-0.05093051865696907,942
267.25,0.08166461437940598,33099,165500,33100,23.213158370000006,0.0007,0.9975569844245911,0.5456870198249817,175,-0.3526045083999634,943
257.04,0.11690609157085419,33199,166000,33200,25.11180484,0.0007,0.9868587255477905,-0.11452370882034302,175,-0.31255388259887695,944
250.48,2.1494085788726807,33299,166500,33300,24.29141384,0.0007,0.8793919086456299,-0.19942758977413177,176,-0.35388487577438354,945
247.6,0.0655122846364975,33399,167000,33400,21.409671030000005,0.0007,-1.0340447425842285,-0.00168483960442245,176,-0.0958976149559021,946
232.73,42.49131774902344,33499,167500,33500,24.6550716,0.0007,0.6935800313949585,-0.0,176,-1.774453473046833e-08,947
205.14,84.98651885986328,33599,168000,33600,25.984272009999998,0.0007,0.3752239942550659,0.01586291752755642,177,-0.6690226197242737,948
188.1,14.118823051452637,33699,168500,33700,25.409800169999993,0.0007,0.3533630967140198,-0.059253085404634476,177,-0.32679325342178345,948
168.45,0.70967698097229,33799,169000,33800,23.434478569999996,0.0007,0.7020628452301025,0.06176266074180603,177,-0.22298488020896912,949
