time/total_timesteps,train/policy_loss,train/n_updates,train/entropy_loss,rollout/ep_rew_mean,train/explained_variance,train/learning_rate,time/fps,time/time_elapsed,rollout/ep_len_mean,train/value_loss,time/iterations
59500,-0.0011898876400664449,11899,-0.36868470907211304,143.74,-2.1264448165893555,0.0007,1021,58,143.74,1.5558989616692998e-05,11900
60000,-0.007029837463051081,11999,-0.45606422424316406,147.82,-3.134199619293213,0.0007,1023,58,147.82,8.058417733991519e-05,12000
60500,0.001073029008693993,12099,-0.3926929533481598,151.61,-78.78589630126953,0.0007,1026,58,151.61,3.852380905300379e-05,12100
61000,-0.0035238005220890045,12199,-0.2502615451812744,155.36,-81.43276977539062,0.0007,1028,59,155.36,0.003000192577019334,12200
61500,-0.010716716758906841,12299,-0.4168928265571594,155.78,-482.336669921875,0.0007,1032,59,155.78,0.0001543340622447431,12300
62000,-0.001115719205699861,12399,-0.4008713364601135,159.35,-195.7392578125,0.0007,1034,59,159.35,1.901700125017669e-05,12400
62500,-0.002914356766268611,12499,-0.49963122606277466,162.73,0.3886551260948181,0.0007,1035,60,162.73,6.590283010154963e-05,12500
63000,-0.004022869281470776,12599,-0.4663662910461426,166.33,-28.007322311401367,0.0007,1035,60,166.33,9.99742915155366e-05,12600
63500,0.0005410335725173354,12699,-0.2554000914096832,169.78,0.9345630407333374,0.0007,1038,61,169.78,1.5991157624739571e-06,12700
64000,0.00035645035677589476,12799,-0.42048341035842896,173.48,-6.702642440795898,0.0007,1040,61,173.48,5.7345487221027724e-06,12800
64500,-0.0004322555032558739,12899,-0.32380008697509766,176.92,-2.9087178707122803,0.0007,1043,61,176.92,1.2669782336161006e-05,12900
65000,-0.00015505155897699296,12999,-0.41893523931503296,180.71,-1552.7105712890625,0.0007,1046,62,180.71,0.0016190374735742807,13000
65500,-5.926702942815609e-05,13099,-0.47752851247787476,184.25,-1.5216138362884521,0.0007,1048,62,184.25,1.0969349659717409e-06,13100
66000,-0.0004095858021173626,13199,-0.4887729585170746,187.99,-54.02000045776367,0.0007,1051,62,187.99,1.3167154975235462e-06,13200
66500,0.0047642081044614315,13299,-0.2292824685573578,191.48,-33.891014099121094,0.0007,1054,63,191.48,3.679667133837938e-05,13300
67000,0.0023787161335349083,13399,-0.4637962281703949,195.17,-0.17101943492889404,0.0007,1049,63,195.17,0.00015431026986334473,13400
67500,-0.002184764016419649,13499,-0.486259400844574,199.3,-1088.1629638671875,0.0007,1052,64,199.3,2.961844438686967e-05,13500
68000,0.0032903372775763273,13599,-0.5072900056838989,203.34,-20.199039459228516,0.0007,1055,64,203.34,0.00017258482694160193,13600
68500,-0.0008854551124386489,13699,-0.4230235517024994,207.39,0.24805623292922974,0.0007,1058,64,207.39,1.0353745892643929e-05,13700
69000,-8.313320722663775e-05,13799,-0.34674686193466187,212.46,-4.0720977783203125,0.0007,1060,65,212.46,0.0001212237257277593,13800
69500,-0.0026007182896137238,13899,-0.36918678879737854,216.88,-27.682640075683594,0.0007,1063,65,216.88,5.5214295571204275e-05,13900
70000,-0.0010439574252814054,13999,-0.3754296600818634,221.43,-1.9602570533752441,0.0007,1066,65,221.43,9.150744517683052e-06,14000
70500,-0.000220688249100931,14099,-0.30414795875549316,226.21,0.40728479623794556,0.0007,1068,65,226.21,5.5849900491011795e-06,14100
71000,-0.0005642587202601135,14199,-0.2744166851043701,230.86,-4.316819190979004,0.0007,1071,66,230.86,6.663415206276113e-06,14200
71500,-6.772285996703431e-05,14299,-0.2505526840686798,235.39,-0.46438145637512207,0.0007,1074,66,235.39,5.013984718971187e-06,14300
72000,-0.00027604325441643596,14399,-0.3458993136882782,240.0,0.6559370756149292,0.0007,1076,66,240.0,6.693671366519993e-06,14400
72500,-0.0004935282049700618,14499,-0.24287724494934082,244.38,-44.35620880126953,0.0007,1079,67,244.38,0.000673749775160104,14500
73000,0.0023067998699843884,14599,-0.23333752155303955,248.88,-58.13276290893555,0.0007,1080,67,248.88,5.602153396466747e-05,14600
