rollout/ep_len_mean,time/time_elapsed,time/fps,time/episodes,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/loss
3084.1,1082,987,13632,1069708,0.01,42.9,66231,0.0001,0.005704620853066444
3147.0,1092,987,13696,1079256,0.01,43.11,66828,0.0001,0.11261661350727081
3179.82,1102,987,13760,1088776,0.01,44.63,67423,0.0001,0.01831682026386261
3212.49,1111,987,13824,1097672,0.01,42.32,67979,0.0001,0.01906936801970005
3145.89,1120,987,13888,1106412,0.01,40.81,68525,0.0001,0.016140758991241455
3152.43,1130,987,13952,1116620,0.01,36.87,69163,0.0001,0.011940226890146732
3119.83,1140,987,14016,1125888,0.01,35.41,69742,0.0001,0.036493945866823196
3090.87,1150,987,14080,1136024,0.01,30.72,70376,0.0001,0.023601140826940536
2972.29,1158,987,14144,1143884,0.01,28.74,70867,0.0001,0.008097109384834766
2941.01,1167,987,14208,1152668,0.01,27.91,71416,0.0001,0.0058868275955319405
2965.07,1177,987,14272,1162948,0.01,28.35,72059,0.0001,0.0034761368297040462
2977.94,1187,987,14336,1172652,0.01,28.45,72665,0.0001,0.010131793096661568
3072.36,1198,987,14400,1183692,0.01,30.29,73355,0.0001,0.00988676305860281
3109.84,1210,987,14464,1195408,0.01,30.15,74087,0.0001,0.031731124967336655
3163.61,1220,987,14528,1205076,0.01,31.69,74692,0.0001,0.017270900309085846
3152.87,1230,987,14592,1214848,0.01,31.87,75302,0.0001,0.009343848563730717
3220.65,1239,987,14656,1224128,0.01,33.18,75882,0.0001,0.010439792647957802
3219.63,1249,987,14720,1233996,0.01,35.93,76499,0.0001,0.004578118212521076
3224.13,1259,987,14784,1243784,0.01,38.28,77111,0.0001,0.00498094130307436
3265.78,1271,987,14848,1255064,0.01,38.64,77816,0.0001,0.007338801398873329
3166.7,1278,987,14912,1262696,0.01,36.9,78293,0.0001,0.03528917580842972
3136.02,1290,987,14976,1273912,0.01,36.38,78994,0.0001,0.008271746337413788
3141.2,1300,987,15040,1283860,0.01,36.3,79616,0.0001,0.09465238451957703
3198.74,1311,987,15104,1295116,0.01,35.95,80319,0.0001,0.043616995215415955
3228.16,1322,987,15168,1305812,0.01,34.83,80988,0.0001,0.0090861227363348
3259.63,1332,987,15232,1315440,0.01,30.8,81589,0.0001,0.015970813110470772
3218.55,1341,987,15296,1324472,0.01,30.21,82154,0.0001,0.016502592712640762
3224.24,1352,987,15360,1335564,0.01,30.63,82847,0.0001,0.011587130837142467
3334.42,1364,987,15424,1346684,0.01,37.34,83542,0.0001,0.022408777847886086
3341.83,1374,987,15488,1356592,0.01,36.88,84161,0.0001,0.04454522579908371
3306.73,1384,987,15552,1366528,0.01,37.6,84782,0.0001,0.02061634138226509
3308.62,1395,987,15616,1377980,0.01,38.02,85498,0.0001,0.007485324516892433
3327.44,1406,987,15680,1388956,0.01,40.14,86184,0.0001,0.007748330943286419
3379.41,1417,987,15744,1399652,0.01,46.25,86853,0.0001,0.01938313990831375
3497.39,1430,987,15808,1412224,0.01,48.56,87638,0.0001,0.0034822234883904457
3502.39,1442,987,15872,1423588,0.01,49.06,88349,0.0001,0.009799377992749214
3489.92,1453,987,15936,1434420,0.01,46.37,89026,0.0001,0.04127716273069382
3538.51,1464,987,16000,1445596,0.01,49.83,89724,0.0001,0.04683128744363785
3571.96,1474,987,16064,1455508,0.01,50.16,90344,0.0001,0.005298643372952938
3557.45,1485,987,16128,1466724,0.01,50.8,91045,0.0001,0.017647389322519302
3552.86,1497,987,16192,1478280,0.01,50.78,91767,0.0001,0.0045013283379375935
3596.5,1509,987,16256,1489784,0.01,47.7,92486,0.0001,0.020187988877296448
3533.61,1520,987,16320,1500776,0.01,45.57,93173,0.0001,0.008220082148909569
3505.4,1531,987,16384,1511692,0.01,44.49,93855,0.0001,0.06392698734998703
3551.46,1543,987,16448,1523680,0.01,44.84,94604,0.0001,0.014420948922634125
3531.92,1554,987,16512,1534700,0.01,44.59,95293,0.0001,0.006451516877859831
3675.25,1568,986,16576,1547820,0.01,47.63,96113,0.0001,0.007882167585194111
3693.84,1582,985,16640,1559780,0.01,49.09,96861,0.0001,0.014089079573750496
3628.3,1592,985,16704,1569896,0.01,48.1,97493,0.0001,0.016856105998158455
3595.93,1602,985,16768,1580052,0.01,50.06,98128,0.0001,0.010209054686129093
3568.3,1613,985,16832,1590400,0.01,51.45,98774,0.0001,0.004945384804159403
3574.02,1624,985,16896,1601080,0.01,51.49,99442,0.0001,0.004798250272870064
3560.32,1636,985,16960,1612588,0.01,54.29,100161,0.0001,0.00803882721811533
3630.79,1650,985,17024,1626404,0.01,52.88,101025,0.0001,0.016018163412809372
3555.29,1661,985,17088,1636848,0.01,51.62,101677,0.0001,0.008897458203136921
3564.76,1674,985,17152,1650112,0.01,49.71,102506,0.0001,0.006411386653780937
