time/fps,train/learning_rate,train/n_updates,train/value_loss,rollout/ep_len_mean,train/explained_variance,train/policy_loss,train/entropy_loss,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/iterations
2129,0.0007,41399,0.3513495624065399,281.24,0.9059678912162781,-0.03536015748977661,-0.4042932689189911,662400,-19.98293424,311,41400
2129,0.0007,41499,33.875244140625,282.2,-1.2195968627929688,-0.06147979944944382,-0.4405066967010498,664000,-23.75181203,311,41500
2130,0.0007,41599,34.09645462036133,288.64,-0.4216878414154053,0.0848122090101242,-0.36566993594169617,665600,-27.93854519,312,41600
2130,0.0007,41699,2.16036057472229,296.68,-0.398240327835083,0.2053045779466629,-0.5218244791030884,667200,-29.489492239999993,313,41700
2130,0.0007,41799,5.474338054656982,310.57,0.5130102634429932,0.41594839096069336,-0.425437867641449,668800,-31.261785600000007,313,41800
2131,0.0007,41899,6.150648593902588,315.07,-0.33470821380615234,-0.1503582000732422,-0.44804298877716064,670400,-32.30690853000001,314,41900
2131,0.0007,41999,1.7200332880020142,323.88,0.8332045078277588,-0.16179713606834412,-0.4813215434551239,672000,-35.954063590000004,315,42000
2124,0.0007,42099,1102.7677001953125,332.05,0.8111218214035034,-0.005993640515953302,-0.17275547981262207,673600,-40.87139631,317,42100
2124,0.0007,42199,1.233783483505249,336.29,0.7740501165390015,-0.0877179279923439,-0.49684035778045654,675200,-43.41320122,317,42200
2124,0.0007,42299,3.922224521636963,343.54,-1.4197280406951904,-0.056855637580156326,-0.708209216594696,676800,-46.10879473999999,318,42300
2125,0.0007,42399,882.0291137695312,354.15,0.7538648843765259,-0.03508094325661659,-0.6225132346153259,678400,-57.09299459000001,319,42400
2125,0.0007,42499,21.0589542388916,360.31,-2.798571825027466,0.06314720213413239,-0.3911117911338806,680000,-58.04419995,319,42500
2125,0.0007,42599,12.01672077178955,368.03,-2.6160128116607666,-0.03735184296965599,-0.496756374835968,681600,-64.13424370000001,320,42600
2125,0.0007,42699,12.462259292602539,376.21,0.2888736128807068,-0.36621272563934326,-0.40608689188957214,683200,-67.35410118000001,321,42700
2125,0.0007,42799,10.591294288635254,385.44,0.0572778582572937,-0.020712753757834435,-0.6195384860038757,684800,-67.89046253000001,322,42800
2126,0.0007,42899,2.59413480758667,394.26,0.7031475305557251,0.03474187105894089,-0.42694929242134094,686400,-68.99606796,322,42900
2126,0.0007,42999,8.565529823303223,403.65,0.2204599380493164,-0.3190380036830902,-0.36919447779655457,688000,-71.26461881,323,43000
2126,0.0007,43099,2.624863624572754,410.01,-0.14961934089660645,-0.052711255848407745,-0.5387401580810547,689600,-73.27069291,324,43100
2126,0.0007,43199,2.3534131050109863,421.33,-0.4789634943008423,0.020043756812810898,-0.4341846704483032,691200,-78.65077059,324,43200
2127,0.0007,43299,6.2452073097229,428.1,-1.0494756698608398,-0.09152226150035858,-0.6087121963500977,692800,-83.16058884,325,43300
2127,0.0007,43399,0.28900521993637085,428.7,0.9757091999053955,0.2379937320947647,-0.5409835577011108,694400,-83.39040705999997,326,43400
2127,0.0007,43499,9.630428314208984,438.71,-0.845845103263855,0.03676554188132286,-0.6764910817146301,696000,-89.18747105,327,43500
2128,0.0007,43599,2.5850837230682373,443.71,-0.840304970741272,0.10284627228975296,-0.5945448875427246,697600,-89.58028674,327,43600
2128,0.0007,43699,1.160010814666748,455.18,0.8731647729873657,-0.10786359757184982,-0.45363813638687134,699200,-93.67243710000001,328,43700
2128,0.0007,43799,0.7951372861862183,455.19,0.8351545929908752,0.1586810201406479,-0.5180917382240295,700800,-96.59477849999999,329,43800
2129,0.0007,43899,0.8332101106643677,453.18,0.8420813083648682,-0.023528456687927246,-0.5692986249923706,702400,-96.52753161999999,329,43900
2129,0.0007,43999,1.39506196975708,457.32,-0.08498024940490723,-0.021592892706394196,-0.4320594072341919,704000,-98.02375747,330,44000
