time/total_timesteps,time/episodes,time/fps,time/time_elapsed,rollout/exploration_rate,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/learning_rate,train/n_updates
20743,1012,4242,4,0.01,9.4,9.4,68.42814636230469,0.001,5160
20780,1016,4242,4,0.01,9.39,9.39,65.50822448730469,0.001,5169
20819,1020,4241,4,0.01,9.43,9.43,54.66154098510742,0.001,5179
20858,1024,4241,4,0.01,9.43,9.43,12.041158676147461,0.001,5189
20896,1028,4241,4,0.01,9.42,9.42,43.380130767822266,0.001,5198
20932,1032,4241,4,0.01,9.38,9.38,48.74175262451172,0.001,5207
20968,1036,4240,4,0.01,9.36,9.36,96.7413101196289,0.001,5216
21005,1040,4240,4,0.01,9.34,9.34,138.19873046875,0.001,5226
21041,1044,4239,4,0.01,9.34,9.34,48.104522705078125,0.001,5235
21079,1048,4239,4,0.01,9.34,9.34,19.196819305419922,0.001,5244
21116,1052,4239,4,0.01,9.33,9.33,92.64812469482422,0.001,5253
21156,1056,4239,4,0.01,9.37,9.37,32.67766571044922,0.001,5263
21193,1060,4238,5,0.01,9.37,9.37,62.77987289428711,0.001,5273
21230,1064,4238,5,0.01,9.38,9.38,71.4086685180664,0.001,5282
21269,1068,4237,5,0.01,9.39,9.39,24.882282257080078,0.001,5292
21305,1072,4235,5,0.01,9.37,9.37,90.44556427001953,0.001,5301
21341,1076,4234,5,0.01,9.34,9.34,76.75712585449219,0.001,5310
21377,1080,4234,5,0.01,9.33,9.33,43.049861907958984,0.001,5319
21414,1084,4234,5,0.01,9.32,9.32,171.66619873046875,0.001,5328
21452,1088,4234,5,0.01,9.34,9.34,99.84295654296875,0.001,5337
21488,1092,4233,5,0.01,9.31,9.31,57.67341232299805,0.001,5346
21525,1096,4233,5,0.01,9.31,9.31,83.8416748046875,0.001,5356
21559,1100,4233,5,0.01,9.25,9.25,77.08540344238281,0.001,5364
21597,1104,4232,5,0.01,9.26,9.26,50.048194885253906,0.001,5374
21634,1108,4232,5,0.01,9.26,9.26,122.6230697631836,0.001,5383
21672,1112,4232,5,0.01,9.29,9.29,79.87749481201172,0.001,5392
21711,1116,4231,5,0.01,9.31,9.31,117.71099090576172,0.001,5402
21749,1120,4231,5,0.01,9.3,9.3,117.89698028564453,0.001,5412
21788,1124,4231,5,0.01,9.3,9.3,108.32742309570312,0.001,5421
21827,1128,4231,5,0.01,9.31,9.31,122.71058654785156,0.001,5431
21864,1132,4230,5,0.01,9.32,9.32,100.01048278808594,0.001,5440
21902,1136,4218,5,0.01,9.34,9.34,128.061767578125,0.001,5450
21939,1140,4217,5,0.01,9.34,9.34,72.32067108154297,0.001,5459
21974,1144,4216,5,0.01,9.33,9.33,99.205322265625,0.001,5468
22011,1148,4215,5,0.01,9.32,9.32,195.2781982421875,0.001,5477
22049,1152,4215,5,0.01,9.33,9.33,106.03457641601562,0.001,5487
22086,1156,4215,5,0.01,9.3,9.3,104.37750244140625,0.001,5496
22126,1160,4215,5,0.01,9.33,9.33,230.27056884765625,0.001,5506
22163,1164,4215,5,0.01,9.33,9.33,183.16522216796875,0.001,5515
22201,1168,4212,5,0.01,9.32,9.32,225.6668701171875,0.001,5525
22239,1172,4212,5,0.01,9.34,9.34,197.87342834472656,0.001,5534
22279,1176,4212,5,0.01,9.38,9.38,166.83958435058594,0.001,5544
22316,1180,4208,5,0.01,9.39,9.39,263.153076171875,0.001,5553
22351,1184,4197,5,0.01,9.37,9.37,120.80791473388672,0.001,5562
22387,1188,4194,5,0.01,9.35,9.35,286.0162658691406,0.001,5571
22426,1192,4194,5,0.01,9.38,9.38,208.09083557128906,0.001,5581
22463,1196,4194,5,0.01,9.38,9.38,265.8635559082031,0.001,5590
22500,1200,4194,5,0.01,9.41,9.41,251.59738159179688,0.001,5599
22535,1204,4193,5,0.01,9.38,9.38,265.1198425292969,0.001,5608
22570,1208,4192,5,0.01,9.36,9.36,151.1421661376953,0.001,5617
22610,1212,4192,5,0.01,9.38,9.38,268.8267517089844,0.001,5627
22648,1216,4192,5,0.01,9.37,9.37,331.09423828125,0.001,5636
22686,1220,4192,5,0.01,9.37,9.37,232.22227478027344,0.001,5646
22722,1224,4192,5,0.01,9.34,9.34,271.34356689453125,0.001,5655
22760,1228,4192,5,0.01,9.33,9.33,221.8954315185547,0.001,5664
22798,1232,4191,5,0.01,9.34,9.34,231.78872680664062,0.001,5674
22835,1236,4191,5,0.01,9.33,9.33,398.250732421875,0.001,5683
22870,1240,4191,5,0.01,9.31,9.31,360.35552978515625,0.001,5692
22909,1244,4191,5,0.01,9.35,9.35,446.53521728515625,0.001,5702
22946,1248,4189,5,0.01,9.35,9.35,273.2590026855469,0.001,5711
22984,1252,4189,5,0.01,9.35,9.35,342.357421875,0.001,5720
23022,1256,4189,5,0.01,9.36,9.36,387.23468017578125,0.001,5730
23060,1260,4189,5,0.01,9.34,9.34,366.5007629394531,0.001,5739
23098,1264,4189,5,0.01,9.35,9.35,197.77618408203125,0.001,5749
23136,1268,4189,5,0.01,9.35,9.35,251.15219116210938,0.001,5758
23174,1272,4189,5,0.01,9.35,9.35,471.19256591796875,0.001,5768
23213,1276,4187,5,0.01,9.34,9.34,515.6489868164062,0.001,5778
23248,1280,4187,5,0.01,9.32,9.32,577.2966918945312,0.001,5786
23286,1284,4187,5,0.01,9.35,9.35,644.2442626953125,0.001,5796
23323,1288,4187,5,0.01,9.36,9.36,416.39483642578125,0.001,5805
23360,1292,4187,5,0.01,9.34,9.34,491.921875,0.001,5814
23396,1296,4187,5,0.01,9.33,9.33,261.15472412109375,0.001,5823
23433,1300,4186,5,0.01,9.33,9.33,715.2821044921875,0.001,5833
23472,1304,4186,5,0.01,9.37,9.37,427.5169982910156,0.001,5842
23509,1308,4185,5,0.01,9.39,9.39,439.4927978515625,0.001,5852
23545,1312,4185,5,0.01,9.35,9.35,602.6094970703125,0.001,5861
23582,1316,4185,5,0.01,9.34,9.34,651.2238159179688,0.001,5870
23621,1320,4184,5,0.01,9.35,9.35,848.1289672851562,0.001,5880
23657,1324,4184,5,0.01,9.35,9.35,709.789306640625,0.001,5889
23694,1328,4184,5,0.01,9.34,9.34,820.247802734375,0.001,5898
23734,1332,4184,5,0.01,9.36,9.36,607.2073974609375,0.001,5908
23770,1336,4182,5,0.01,9.35,9.35,810.458740234375,0.001,5917
23807,1340,4182,5,0.01,9.37,9.37,934.1043701171875,0.001,5926
23845,1344,4181,5,0.01,9.36,9.36,902.235107421875,0.001,5936
23882,1348,4181,5,0.01,9.36,9.36,1599.072265625,0.001,5945
23920,1352,4181,5,0.01,9.36,9.36,831.82763671875,0.001,5954
23958,1356,4181,5,0.01,9.36,9.36,664.2333374023438,0.001,5964
23997,1360,4181,5,0.01,9.37,9.37,788.2503662109375,0.001,5974
24035,1364,4181,5,0.01,9.37,9.37,1278.86181640625,0.001,5983
24074,1368,4181,5,0.01,9.38,9.38,1311.85791015625,0.001,5993
24110,1372,4180,5,0.01,9.36,9.36,1681.5380859375,0.001,6002
24147,1376,4180,5,0.01,9.34,9.34,1089.1802978515625,0.001,6011
24185,1380,4180,5,0.01,9.37,9.37,726.9599609375,0.001,6021
24220,1384,4180,5,0.01,9.34,9.34,1411.746337890625,0.001,6029
24258,1388,4179,5,0.01,9.35,9.35,1277.3890380859375,0.001,6039
24296,1392,4180,5,0.01,9.36,9.36,730.6826171875,0.001,6048
24333,1396,4179,5,0.01,9.37,9.37,896.2965698242188,0.001,6058
24371,1400,4179,5,0.01,9.38,9.38,2067.603271484375,0.001,6067
24407,1404,4179,5,0.01,9.35,9.35,2101.321044921875,0.001,6076
24443,1408,4178,5,0.01,9.34,9.34,1373.71484375,0.001,6085
24481,1412,4177,5,0.01,9.36,9.36,1403.38134765625,0.001,6095
24518,1416,4166,5,0.01,9.36,9.36,1880.544677734375,0.001,6104
24558,1420,4156,5,0.01,9.37,9.37,2045.083984375,0.001,6114
24594,1424,4154,5,0.01,9.37,9.37,1767.771240234375,0.001,6123
24632,1428,4153,5,0.01,9.38,9.38,1523.3974609375,0.001,6132
24667,1432,4153,5,0.01,9.33,9.33,1919.5052490234375,0.001,6141
24704,1436,4152,5,0.01,9.34,9.34,2284.289794921875,0.001,6150
24742,1440,4152,5,0.01,9.35,9.35,1951.5272216796875,0.001,6160
